ts,type,walletId,lightningAddress,invoiceId,betAmount,payoutAmount,amountSats,balanceBeforeSats,balanceAfterSats,recipient,reason,error
"2026-05-06T22:43:16.592Z","auto_refund_failed","e2da14b8e4d0d38e93705bd9283d5c45","abc@speed.app","","","","1030","0","1030","abc@speed.app","auto_refund","Request failed with status code 400"
"2026-05-06T22:43:15.783Z","auto_refund_requested","e2da14b8e4d0d38e93705bd9283d5c45","abc@speed.app","","","","1030","1030","0","abc@speed.app","auto_refund",""
"2026-05-06T22:38:16.524Z","auto_refund_failed","e2da14b8e4d0d38e93705bd9283d5c45","abc@speed.app","","","","1030","0","1030","abc@speed.app","auto_refund","Request failed with status code 400"
"2026-05-06T22:38:15.767Z","auto_refund_requested","e2da14b8e4d0d38e93705bd9283d5c45","abc@speed.app","","","","1030","1030","0","abc@speed.app","auto_refund",""
"2026-05-06T22:33:16.523Z","auto_refund_failed","e2da14b8e4d0d38e93705bd9283d5c45","abc@speed.app","","","","1030","0","1030","abc@speed.app","auto_refund","Request failed with status code 400"
"2026-05-06T22:33:15.751Z","auto_refund_requested","e2da14b8e4d0d38e93705bd9283d5c45","abc@speed.app","","","","1030","1030","0","abc@speed.app","auto_refund",""
"2026-05-06T22:28:16.394Z","auto_refund_failed","e2da14b8e4d0d38e93705bd9283d5c45","abc@speed.app","","","","1030","0","1030","abc@speed.app","auto_refund","Request failed with status code 400"
"2026-05-06T22:28:15.731Z","auto_refund_requested","e2da14b8e4d0d38e93705bd9283d5c45","abc@speed.app","","","","1030","1030","0","abc@speed.app","auto_refund",""
"2026-05-06T22:23:16.555Z","auto_refund_failed","e2da14b8e4d0d38e93705bd9283d5c45","abc@speed.app","","","","1030","0","1030","abc@speed.app","auto_refund","Request failed with status code 400"
"2026-05-06T22:23:15.713Z","auto_refund_requested","e2da14b8e4d0d38e93705bd9283d5c45","abc@speed.app","","","","1030","1030","0","abc@speed.app","auto_refund",""
"2026-05-06T22:18:16.471Z","auto_refund_failed","e2da14b8e4d0d38e93705bd9283d5c45","abc@speed.app","","","","1030","0","1030","abc@speed.app","auto_refund","Request failed with status code 400"
"2026-05-06T22:18:15.697Z","auto_refund_requested","e2da14b8e4d0d38e93705bd9283d5c45","abc@speed.app","","","","1030","1030","0","abc@speed.app","auto_refund",""
"2026-05-06T22:13:16.429Z","auto_refund_failed","e2da14b8e4d0d38e93705bd9283d5c45","abc@speed.app","","","","1030","0","1030","abc@speed.app","auto_refund","Request failed with status code 400"
"2026-05-06T22:13:15.685Z","auto_refund_requested","e2da14b8e4d0d38e93705bd9283d5c45","abc@speed.app","","","","1030","1030","0","abc@speed.app","auto_refund",""
"2026-05-06T22:08:16.361Z","auto_refund_failed","e2da14b8e4d0d38e93705bd9283d5c45","abc@speed.app","","","","1030","0","1030","abc@speed.app","auto_refund","Request failed with status code 400"
